,p,f,f1,f3
0,0.787859320640564,0.9341300129890442,0.8547823429107666,0.9171034693717957
1,0.7288500070571899,0.8212500810623169,0.772296130657196,0.8109689950942993
2,0.8056811094284058,0.7495264410972595,0.7765899896621704,0.7547872066497803
3,0.7388739585876465,0.7831712961196899,0.7603780627250671,0.778503954410553
4,0.7470368146896362,0.8526102900505066,0.7963398098945618,0.8407288789749146
5,0.8115525245666504,0.8384255170822144,0.8247702121734619,0.8356584310531616
6,0.6728006601333618,0.7720580101013184,0.7190200090408325,0.7608335614204407
7,0.736485481262207,0.7426599264144897,0.7395598292350769,0.742037832736969
8,0.7074806690216064,0.8030650615692139,0.7522487044334412,0.7923598289489746
9,0.7543002367019653,0.7427033185958862,0.7484568953514099,0.7438469529151917
10,0.7887465357780457,0.8119317293167114,0.8001712560653687,0.8095520734786987
11,0.7628629803657532,0.7720782160758972,0.7674429416656494,0.7711466550827026
12,0.7050484418869019,0.7885133028030396,0.7444487810134888,0.7792879939079285
13,0.6892837285995483,0.7874132394790649,0.735088050365448,0.7763606905937195
14,0.6917784214019775,0.8313434720039368,0.75516676902771,0.8149029612541199
15,0.7858107089996338,0.8853676319122314,0.8326237201690674,0.8742910027503967
16,0.6659181118011475,0.8341544270515442,0.7406022548675537,0.813599705696106
17,0.7268809080123901,0.7933193445205688,0.7586483359336853,0.7861339449882507
18,0.7174909114837646,0.8421715497970581,0.774847686290741,0.8277868032455444
19,0.7493343949317932,0.8513737320899963,0.7971017360687256,0.8399360775947571
20,0.7970618009567261,0.7352113723754883,0.7648882865905762,0.7409611344337463
average,0.7414827488717579,0.8082132367860704,0.7721653240067619,0.8005137216477167
