,p,f,f1,f3
0,0.866029679775238,0.9576852321624756,0.9095542430877686,0.9476557374000548
1,0.7509694695472717,0.7938339710235596,0.771807074546814,0.7893285751342773
2,0.8670322895050049,0.8198504447937012,0.8427815437316895,0.8243363499641418
3,0.8027721643447876,0.7632749676704407,0.7825254797935486,0.7670488953590393
4,0.882160484790802,0.9068601727485656,0.8943397998809814,0.9043280482292176
5,0.9103484749794006,0.8851734399795532,0.8975844383239746,0.8876281380653381
6,0.8477028608322144,0.9163535237312316,0.8806923627853394,0.9089921712875366
7,0.8352266550064087,0.775760293006897,0.8043959736824036,0.7813231945037842
8,0.7615735530853271,0.7978653907775879,0.7792971730232239,0.7940812706947327
9,0.7972501516342163,0.7630631327629089,0.7797821164131165,0.7663493752479553
10,0.8026371002197266,0.7899881601333618,0.7962623834609985,0.791235089302063
11,0.7262357473373413,0.7611590623855591,0.7432874441146851,0.7575163841247559
12,0.7716612815856934,0.8931911587715149,0.8279905915260315,0.879342257976532
13,0.7853167057037354,0.7599810361862183,0.7724411487579346,0.7624408006668091
14,0.8737770318984985,0.9032354354858398,0.8882620334625244,0.9002004265785217
15,0.7963035106658936,0.853522539138794,0.8239207863807678,0.8474332094192505
16,0.8792219161987305,0.9114719033241272,0.8950564861297607,0.9081407785415648
17,0.8954508304595947,0.9373096823692322,0.9159022569656372,0.9329484701156616
18,0.8707975149154663,0.9166219830513,0.8931223154067993,0.9118236899375916
19,0.7087826728820801,0.735302209854126,0.7217989563941956,0.7325612902641296
20,0.7632393836975098,0.7017855644226074,0.7312235832214355,0.7074819803237915
average,0.8187852132888067,0.8353947287514096,0.8262870567185538,0.8334379111017499
