,p,f,f1,f3
0,0.8598304986953735,0.9644948244094848,0.909160315990448,0.95289546251297
1,0.7876295447349548,0.811517596244812,0.7993952035903931,0.809063732624054
2,0.8211590051651001,0.8271148204803467,0.824126124382019,0.8265153765678406
3,0.8199815154075623,0.8573497533798218,0.8382494449615479,0.8534603118896484
4,0.8594794869422913,0.913476824760437,0.8856558203697205,0.907773733139038
5,0.9366780519485474,0.9259206056594848,0.9312682151794434,0.926985204219818
6,0.8038150072097778,0.931576132774353,0.8629926443099976,0.9170010685920716
7,0.8088639974594116,0.7702446579933167,0.7890820503234863,0.7739397883415222
8,0.7554708123207092,0.8682870864868164,0.8079598546028137,0.855511486530304
9,0.7807597517967224,0.7483305931091309,0.764201283454895,0.7514517903327942
10,0.7996443510055542,0.8034096956253052,0.8015226125717163,0.8030315637588501
11,0.7579010128974915,0.7532710433006287,0.7555789947509766,0.7537314295768738
12,0.8134567737579346,0.9350265860557556,0.8700153827667236,0.9212585687637328
13,0.7391082048416138,0.8909043073654175,0.8079382181167603,0.8729753494262695
14,0.708558976650238,0.8573163747787476,0.775871753692627,0.8396876454353333
15,0.8067745566368103,0.9002876281738281,0.8509697318077087,0.8899719715118408
16,0.7866228818893433,0.9321542382240297,0.8532273173332214,0.915221869945526
17,0.7720171213150024,0.9020953178405762,0.8320026397705078,0.8871476650238037
18,0.7757123708724976,0.8913038969039917,0.8295005559921265,0.8782172799110413
19,0.8227799534797668,0.937609314918518,0.876449465751648,0.92470383644104
20,0.8719837069511414,0.7945613265037537,0.8314740657806396,0.8016793727874756
average,0.8042013134275164,0.8674406011899313,0.833173414071401,0.8601059289205641
