,p,f,f1,f3
0,0.9128648042678832,0.9591096043586732,0.9354159832000732,0.954275369644165
1,0.8210052251815796,0.7928546667098999,0.8066843748092651,0.7955825328826904
2,0.870024561882019,0.8074935078620911,0.8375935554504395,0.8133392333984375
3,0.8252227306365967,0.8237128257751465,0.824467122554779,0.8238636255264282
4,0.9152771234512328,0.9304194450378418,0.9227861762046814,0.928882658481598
5,0.9265301823616028,0.9143139719963074,0.9203815460205078,0.915520966053009
6,0.9001927375793457,0.9449396133422852,0.922023594379425,0.9402658343315125
7,0.8675252795219421,0.7673520445823669,0.8143696784973145,0.776316225528717
8,0.7423079013824463,0.8472159504890442,0.7912999987602234,0.83540940284729
9,0.8296293020248413,0.7315000295639038,0.7774806022644043,0.7402558326721191
10,0.8641273975372314,0.7934638261795044,0.8272894024848938,0.8000057935714722
11,0.7264939546585083,0.7461992502212524,0.7362147569656372,0.7441807389259338
12,0.8349494934082031,0.9456127882003784,0.8868422508239746,0.9332436323165894
13,0.8938316702842712,0.9129235744476318,0.9032766819000244,0.9109777212142944
14,0.8175017833709717,0.8882765173912048,0.8514208197593689,0.8806523680686951
15,0.8884848356246948,0.8844847083091736,0.8864802718162537,0.8848831653594971
16,0.9112765789031982,0.964124321937561,0.9369558095932008,0.958565354347229
17,0.9357874393463136,0.9499549269676208,0.9428179264068604,0.948518931865692
18,0.8929522037506104,0.9083670973777772,0.900593638420105,0.9068016409873962
19,0.837918221950531,0.9226452112197876,0.8782429695129395,0.9134091138839722
20,0.885489821434021,0.7986133098602295,0.8398107290267944,0.806526243686676
average,0.8618758689789545,0.8682655805633182,0.8639260899452936,0.867213161218734
