,p,f,f1,f3
0,0.8606705665588379,0.9134323000907898,0.886266827583313,0.9078667759895324
1,0.7446786165237427,0.7265713214874268,0.7355135083198547,0.7283423542976379
2,0.8269656300544739,0.7858330607414246,0.8058748245239258,0.7897611856460571
3,0.7203652262687683,0.7827789783477783,0.7502763271331787,0.7760551571846008
4,0.6614457368850708,0.7502665519714355,0.7030619978904724,0.7403252124786377
5,0.7656823396682739,0.8550564050674438,0.8079051375389099,0.8451909422874451
6,0.7480751872062683,0.8566395044326782,0.7986850142478943,0.8443853855133057
7,0.789844274520874,0.746399998664856,0.7675078511238098,0.7505281567573547
8,0.6481335163116455,0.7256439328193665,0.6847020983695984,0.7170685529708862
9,0.7244921922683716,0.6933244466781616,0.7085657119750977,0.6963199973106384
10,0.7662439942359924,0.7913211584091187,0.7785806655883789,0.788739800453186
11,0.7464739084243774,0.7717225551605225,0.7588882446289062,0.7691211104393005
12,0.7440077066421509,0.8315767049789429,0.785358726978302,0.8219029307365417
13,0.8302932977676392,0.8754948377609253,0.8522951602935791,0.8707544207572937
14,0.7612026333808899,0.8077442646026611,0.7837831974029541,0.8028355240821838
15,0.7044544219970703,0.8583648204803467,0.7738308310508728,0.8400120735168457
16,0.7883834838867188,0.9054648280143738,0.8428777456283569,0.8922146558761597
17,0.8380175828933716,0.8318581581115723,0.8349265456199646,0.8324700593948364
18,0.6999150514602661,0.7415722608566284,0.7201417684555054,0.7371847033500671
19,0.8383400440216064,0.9176281690597534,0.8761940002441406,0.9090307354927064
20,0.6617996692657471,0.585425615310669,0.6212742328643799,0.5922605395317078
average,0.755689765725817,0.7978152320498512,0.7750719246410188,0.7929700130508059
