,p,f,f1,f3
0,0.8430107831954956,0.948825478553772,0.8927937746047974,0.9370633959770204
1,0.8224817514419556,0.8160059452056885,0.8192310929298401,0.8166489005088806
2,0.81272292137146,0.7623200416564941,0.786715030670166,0.7670773267745972
3,0.871803879737854,0.8260316848754883,0.8483008146286011,0.830391526222229
4,0.8877553939819336,0.9299483299255372,0.9083621501922609,0.9255495071411132
5,0.9192728996276855,0.9120804071426392,0.9156625270843506,0.9127945303916932
6,0.8758450150489807,0.931513786315918,0.9028220772743224,0.9256304502487184
7,0.8615537881851196,0.771790623664856,0.8142057061195374,0.7799163460731506
8,0.7153207063674927,0.7917690277099609,0.7516058683395386,0.7833966612815857
9,0.8346221446990967,0.8302870392799377,0.8324489593505859,0.8307185769081116
10,0.8311989307403564,0.8080806732177734,0.8194767832756042,0.8103344440460205
11,0.7769612073898315,0.764658510684967,0.7707607746124268,0.7658712267875671
12,0.8215453624725342,0.884209394454956,0.8517263531684875,0.8775160312652588
13,0.8821871280670166,0.9092292785644532,0.8955041170120239,0.906450629234314
14,0.8658228516578674,0.8960413932800293,0.8806729912757874,0.8929250240325928
15,0.8793224692344666,0.8542829751968384,0.8666219115257263,0.8567224740982056
16,0.8485829830169678,0.9363531470298768,0.8903101086616516,0.9267675280570984
17,0.9169207215309144,0.9356666803359984,0.9261987805366516,0.9337576031684875
18,0.8908681273460388,0.9267629384994508,0.9084611535072328,0.9230438470840454
19,0.8209859132766724,0.919773817062378,0.8675767779350281,0.9088378548622132
20,0.9028491973876952,0.7732793092727661,0.8330562114715576,0.7845383882522583
average,0.851506389322735,0.8632814515204656,0.8563101887702942,0.8617120129721505
